#       k [h/Mpc]           P_cdm          P_vcdm         P_total
          0.0001     0.000394553     0.000394553     0.000394553
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000106333     0.000418522     0.000418522     0.000418522
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000113066     0.000443947     0.000443947     0.000443947
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000120226     0.000470913     0.000470913     0.000470913
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00012784     0.000499516     0.000499516     0.000499516
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000135936     0.000529852     0.000529852     0.000529852
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000144544     0.000562028     0.000562028     0.000562028
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000153697     0.000596154     0.000596154     0.000596154
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000163431     0.000632346     0.000632346     0.000632346
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00017378      0.00067073      0.00067073      0.00067073
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000184785     0.000711437     0.000711437     0.000711437
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000196487     0.000754606     0.000754606     0.000754606
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00020893     0.000800385     0.000800385     0.000800385
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00022216     0.000848929     0.000848929     0.000848929
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000236229     0.000900403     0.000900403     0.000900403
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000251189     0.000954981     0.000954981     0.000954981
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000267096      0.00101285      0.00101285      0.00101285
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00028401       0.0010742       0.0010742       0.0010742
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000301995      0.00113923      0.00113923      0.00113923
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000321119      0.00120818      0.00120818      0.00120818
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000341455      0.00128125      0.00128125      0.00128125
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000363078      0.00135869      0.00135869      0.00135869
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000386071      0.00144077      0.00144077      0.00144077
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000410519      0.00152773      0.00152773      0.00152773
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000436516      0.00161986      0.00161986      0.00161986
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000464159      0.00171746      0.00171746      0.00171746
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000493552      0.00182082      0.00182082      0.00182082
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000524807      0.00193028      0.00193028      0.00193028
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000558042      0.00204617      0.00204617      0.00204617
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000593381      0.00216884      0.00216884      0.00216884
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000630957      0.00229864      0.00229864      0.00229864
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000670914      0.00243597      0.00243597      0.00243597
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
       0.0007134      0.00258121      0.00258121      0.00258121
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000758578      0.00273477      0.00273477      0.00273477
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000806616      0.00289706      0.00289706      0.00289706
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000857696      0.00306852      0.00306852      0.00306852
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000912011      0.00324958      0.00324958      0.00324958
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
     0.000969765      0.00344069      0.00344069      0.00344069
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00103118       0.0036423       0.0036423       0.0036423
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00109648      0.00385487      0.00385487      0.00385487
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00116591      0.00407885      0.00407885      0.00407885
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00123975      0.00431469      0.00431469      0.00431469
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00131826      0.00456284      0.00456284      0.00456284
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00140174      0.00482373      0.00482373      0.00482373
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
       0.0014905      0.00509778      0.00509778      0.00509778
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00158489      0.00538537      0.00538537      0.00538537
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00168526      0.00568689      0.00568689      0.00568689
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00179198      0.00600264      0.00600264      0.00600264
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00190546      0.00633292      0.00633292      0.00633292
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00202613      0.00667795      0.00667795      0.00667795
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00215443       0.0070379       0.0070379       0.0070379
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00229087      0.00741287      0.00741287      0.00741287
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00243594      0.00780288      0.00780288      0.00780288
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
       0.0025902      0.00820783      0.00820783      0.00820783
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00275423      0.00862756      0.00862756      0.00862756
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00292864      0.00906176      0.00906176      0.00906176
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00311411      0.00951001      0.00951001      0.00951001
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00331131      0.00997174      0.00997174      0.00997174
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00352101       0.0104462       0.0104462       0.0104462
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00374398       0.0109326       0.0109326       0.0109326
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00398107       0.0114299       0.0114299       0.0114299
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00423318       0.0119367       0.0119367       0.0119367
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00450125       0.0124517       0.0124517       0.0124517
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
       0.0047863       0.0129733       0.0129733       0.0129733
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
       0.0050894       0.0134995       0.0134995       0.0134995
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
       0.0054117       0.0140283       0.0140283       0.0140283
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
       0.0057544       0.0145574       0.0145574       0.0145574
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00611881       0.0150842       0.0150842       0.0150842
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00650629       0.0156059       0.0156059       0.0156059
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00691831       0.0161196       0.0161196       0.0161196
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00735642       0.0166217       0.0166217       0.0166217
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00782228       0.0171088       0.0171088       0.0171088
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00831764        0.017577        0.017577        0.017577
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00884437       0.0180221       0.0180221       0.0180221
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
      0.00940445       0.0184397       0.0184397       0.0184397
